release_path	source_path	classification	manuscript_relation	inputs	outputs	decision	notes
src/spmap/isr.py	11_aggregate_wsi_isr.py	interface	shared SpMap source	four-class tile predictions	WSI-level ISR tables	release	ISR aggregation
src/spmap/mlp.py	08_train_mlp.py; 13_summarize_retraining.py	interface	shared SpMap source	tar feature shards and grouped splits	MLP checkpoints and metric tables	release	CUDA MLP training
src/spmap/preprocessing.py	04_normalize_stain.py; 05_augment_training_tiles.py	interface	shared SpMap source	tile images	stain-normalized and augmented tiles	release	training preprocessing
src/spmap/reference_tiles.py	01_build_structure_bboxes.py; 02_tile_structure_regions.py; 03_tile_reference_rois.py	interface	shared SpMap source	registered cells, structures, and images	release tile manifests	release	reference-tile generation
src/spmap/splits.py	07_build_grouped_splits.py	interface	shared SpMap source	tile manifest	group-disjoint split manifests	release	grouped splits
src/spmap/wsi.py	10_tile_wsi.py	interface	shared SpMap source	whole-slide images	WSI tile tables	release	WSI tiling
src/st/st_functions.R	st_functions.r; 2_RCTD_deconvolution.r; 5_ST_Main.r	current	shared ST source	FDZS-4 Bin100 bundle; RCTD weights; registered SpMap tiles	spatial-transcriptomics tables	release	ST functions
zenodo:FDZS1_IMC_processed.rds	FDZS1_IMC_processed.rds	processed_data	FDZS-1 IMC	35 markers x 2,018,260 cells	zenodo:FDZS1_IMC_processed.rds	release	processed IMC object
zenodo:FDZS3_scRNA_processed.h5ad	FDZS3_scRNA_processed.h5ad	processed_data	FDZS-3 scRNA-seq	35,900 cells	zenodo:FDZS3_scRNA_processed.h5ad	release	processed scRNA-seq object
zenodo:FDZS4_ST_processed.h5ad	FDZS4_ST_processed.h5ad	processed_data	FDZS-4 ST	17,902 spots x 56,695 features	zenodo:FDZS4_ST_processed.h5ad	release	processed spatial-transcriptomics object
zenodo:Supplementary_Tables_public.xlsx	Supplementary_Tables_public.xlsx	processed_data	Supplementary Tables 1-4	four workbook sheets	zenodo:Supplementary_Tables_public.xlsx	release	public supplementary tables
figures/Figure4/02_export_roi_cell_composition.R	release implementation	implementation	Figure4	FDZS-1 processed IMC object	public 311-ROI cell-composition matrix	release	ROI-level public data export
figures/Figure5/03_prepare_public_spmap_artifacts.py	release implementation	implementation	Figure5; SupplementaryFigure11	tile/split manifests; selected C10 runs; CONCH feature shards	public SpMap labels, partitions, metrics, predictions, features, and weights	release	SpMap public artifact export
figures/Figure6/03_prepare_public_isr_tables.py	release implementation	implementation	Figure6; SupplementaryFigure11	Supplementary Tables 1 and 5; saved IMC and H&E ISR tables	public patient ISR/RFS, cohort assignment, and cutoff tables	release	patient-level public data export
zenodo:FDZS1_patient_level_ISR.tsv	derived_results/ISR/FDZS1_patient_level_ISR.tsv	derived_data	Figure6; SupplementaryFigure11	35 FDZS-1 patients	zenodo:FDZS1_patient_level_ISR.tsv	release	patient-level ISR and RFS
zenodo:FDZS2_patient_level_ISR_RFS.tsv	derived_results/ISR/FDZS2_patient_level_ISR_RFS.tsv	derived_data	Figure6	95 FDZS-2 patients	zenodo:FDZS2_patient_level_ISR_RFS.tsv	release	patient-level ISR and RFS
zenodo:SpMap_patient_cohort_assignment.tsv	derived_results/ISR/SpMap_patient_cohort_assignment.tsv	derived_data	Figure6	129 patients	zenodo:SpMap_patient_cohort_assignment.tsv	release	discovery/test cohort assignment
zenodo:ISR_definition_and_cutoff.tsv	derived_results/ISR/ISR_definition_and_cutoff.tsv	derived_data	Figure6	two score definitions	zenodo:ISR_definition_and_cutoff.tsv	release	ISR formulas and cutoff
zenodo:FDZS1_ROI_cell_composition.tsv.gz	derived_results/IMC/FDZS1_ROI_cell_composition.tsv.gz	derived_data	Figure4	311 patient-ROI-tissue rows	zenodo:FDZS1_ROI_cell_composition.tsv.gz	release	ROI-level cell composition
zenodo:SpMap_reference_tile_labels.tsv.gz	derived_results/SpMap/SpMap_reference_tile_labels.tsv.gz	derived_data	Figure5	61,628 tiles	zenodo:SpMap_reference_tile_labels.tsv.gz	release	four-class reference labels
zenodo:SpMap_tile_partitions.tsv.gz	derived_results/SpMap/SpMap_tile_partitions.tsv.gz	derived_data	Figure5	61,628 tiles	zenodo:SpMap_tile_partitions.tsv.gz	release	primary and five-fold partitions
zenodo:SpMap_model_performance_5seeds.tsv	derived_results/SpMap/SpMap_model_performance_5seeds.tsv	derived_data	SupplementaryFigure11	five seeds	zenodo:SpMap_model_performance_5seeds.tsv	release	class and overall performance
zenodo:SpMap_confusion_matrix.tsv	derived_results/SpMap/SpMap_confusion_matrix.tsv	derived_data	SupplementaryFigure11	49,001 predictions	zenodo:SpMap_confusion_matrix.tsv	release	four-class OOF confusion matrix
zenodo:SpMap_OOF_predictions_C10_5seeds_5folds.tar.gz	derived_results/SpMap/SpMap_OOF_predictions_C10_5seeds_5folds.tar.gz	derived_data	Figure5; SupplementaryFigure11	25 prediction tables	zenodo:SpMap_OOF_predictions_C10_5seeds_5folds.tar.gz	release	fold OOF predictions
zenodo:SpMap_model_weights_C10_5seeds_5folds.tar.gz	derived_results/SpMap/SpMap_model_weights_C10_5seeds_5folds.tar.gz	derived_data	Figure5; SupplementaryFigure11	25 checkpoints and manifests	zenodo:SpMap_model_weights_C10_5seeds_5folds.tar.gz	release	selected C10 checkpoints
zenodo:SpMap_CONCH_features.tar.gz	derived_results/SpMap/SpMap_CONCH_features.tar.gz	derived_data	Figure5	feature shards and member inventories	zenodo:SpMap_CONCH_features.tar.gz	release	canonical CONCH features
